131631,500000000001,1,24/06/2014,11111
131631,500000000002,2,07/10/2015,11111
131631,500000000003,1,13/09/2015,11111
131631,500000000004,2,02/02/2016,11111
131631,500000000005,1,01/12/2015,11111
534,500000000006,2,27/10/2012,11111
534,500000000007,2,25/12/2015,11111
534,500000000008,1,12/08/2009,11111
49017,500000000009,1,19/07/2015,11111
49017,500000000010,2,01/01/2016,11111
49017,500000000011,1,30/05/2016,11111
100402,500000000012,1,02/09/2015,11111
100402,500000000013,1,23/06/2016,11111
294254,500000000014,2,15/08/2015,11111
294254,500000000015,2,15/08/2015,11111
100402,500000000016,1,31/12/2015,11127
100402,500000000017,2,09/03/2016,11127
100402,500000000018,2,21/05/2016,11127
100402,500000000019,1,24/06/2016,11127
100402,500000000020,2,24/06/2016,11127
955,500000000021,1,20/12/2001,11127
955,500000000022,1,05/05/2005,11127
955,500000000023,1,06/06/2006,11127
194662,500000000024,2,13/11/2015,11127
194662,500000000025,2,29/04/2016,11127
207703,500000000026,1,31/12/2015,11127
207703,500000000027,2,09/08/2016,11127
207703,500000000028,2,29/05/2016,11127
87101,500000000029,1,20/03/2016,11127
87101,500000000030,2,28/03/2016,11127
127585,500000000031,1,24/08/2001,11643
127585,500000000032,1,05/05/2005,11643
271718,500000000033,2,05/05/2015,11643
271718,500000000034,2,05/05/2005,11643
24428,500000000035,2,29/04/2016,11643
24428,500000000036,1,31/12/2015,11643
24428,500000000037,2,09/03/2016,11643
205775,500000000038,2,21/05/2016,11643
205775,500000000039,1,24/06/2016,11643
205775,500000000040,2,24/06/2016,11643
205775,500000000041,1,20/12/2001,11643
205775,500000000042,1,05/05/2005,11643
118340,500000000043,1,06/06/2006,11643
118340,500000000044,2,13/11/2015,11643
118340,500000000045,2,29/04/2016,11643
131631,500000000046,1,27/09/2011,12967
131631,500000000047,1,09/06/2016,12967
131631,500000000048,2,17/11/2005,12967
157336,500000000049,2,28/04/2006,12967
157336,500000000050,1,15/12/2015,12967
210577,500000000051,2,19/05/2016,12967
210577,500000000052,2,11/08/2016,12967
210577,500000000053,1,14/09/2016,12967
210577,500000000054,2,04/03/2016,12967
210577,500000000055,1,10/12/2001,12967
296098,500000000056,1,15/08/2005,12967
296098,500000000057,1,06/04/2006,12967
296098,500000000058,2,23/12/2015,12967
177572,500000000059,1,11/06/2016,12967
177572,500000000060,2,12/06/2016,12967
